id,meal_id,food_servings_id,quantity,notes,created_at
f0080000-0000-0000-0000-000000000001,13a4b5c6-d7e8-4f3c-4d5e-6f7a8b9c0d1e,3de4a165-7be8-4b55-baaf-4c0cb74ed87c,1.00,Cooked quinoa,2025-11-07 16:30:00.000000+00
f0090000-0000-0000-0000-000000000001,14a5b6c7-d8e9-4f4d-5e6f-7a8b9c0d1e2f,3b7a85b2-014b-43aa-bee1-297356b0cadc,1.00,Tuna canned in water,2025-11-07 16:30:00.000000+00
f0100000-0000-0000-0000-000000000001,15a6b7c8-d9e0-4f5e-6f7a-8b9c0d1e2f30,ccafc5ed-7e4b-4e23-bc8a-c13fabcdc4aa,1.00,Ground chicken,2025-11-07 16:30:00.000000+00
f0100000-0000-0000-0000-000000000002,15a6b7c8-d9e0-4f5e-6f7a-8b9c0d1e2f30,df3224ea-348b-47b6-91b6-52aee8b2f5da,1.00,Brown rice long grain,2025-11-07 16:30:00.000000+00
f0100000-0000-0000-0000-000000000003,15a6b7c8-d9e0-4f5e-6f7a-8b9c0d1e2f30,ad137428-f87a-46ea-beba-9d383d1bb1d5,1.00,Fresh broccoli,2025-11-07 16:30:00.000000+00
f0110000-0000-0000-0000-000000000001,d1a2b3c4-e5f6-4a1b-8c9d-0e1f2a3b4c5d,141d6b11-10cb-4d28-95ad-cbbc98566482,1.00,Salmon Atlantic,2025-11-07 16:30:00.000000+00
f0110000-0000-0000-0000-000000000002,d1a2b3c4-e5f6-4a1b-8c9d-0e1f2a3b4c5d,887d3fdb-22cb-4f3f-b182-889845ed1cda,1.00,Fresh asparagus,2025-11-07 16:30:00.000000+00
f0120000-0000-0000-0000-000000000001,d2a3b4c5-e6f7-4b2c-9d0e-1f2a3b4c5d6e,689816bf-b924-4b9e-8040-7087ea0a14e1,1.00,Beef sirloin steak,2025-11-07 16:30:00.000000+00
f0120000-0000-0000-0000-000000000002,d2a3b4c5-e6f7-4b2c-9d0e-1f2a3b4c5d6e,df3224ea-348b-47b6-91b6-52aee8b2f5da,1.00,Brown rice,2025-11-07 16:30:00.000000+00
f0130000-0000-0000-0000-000000000001,d3a4b5c6-e7f8-4c3d-0e1f-2a3b4c5d6e7f,f207aa4f-b820-47b2-adca-b96144b0127f,1.00,Ground turkey,2025-11-07 16:30:00.000000+00
f0140000-0000-0000-0000-000000000001,d4a5b6c7-e8f9-4d4e-1f2a-3b4c5d6e7f80,ccafc5ed-7e4b-4e23-bc8a-c13fabcdc4aa,1.00,Chicken,2025-11-07 16:30:00.000000+00
f0150000-0000-0000-0000-000000000001,d5a6b7c8-e9f0-4e5f-2a3b-4c5d6e7f8091,3de4a165-7be8-4b55-baaf-4c0cb74ed87c,1.00,Quinoa,2025-11-07 16:30:00.000000+00
f0160000-0000-0000-0000-000000000001,51a2b3c4-d5e6-4f1a-2b3c-4d5e6f7a8b9c,74de1f46-02fe-4b7d-a25c-bc3a9e0eec86,1.00,Whey protein,2025-11-07 16:30:00.000000+00
f0160000-0000-0000-0000-000000000002,51a2b3c4-d5e6-4f1a-2b3c-4d5e6f7a8b9c,827727e5-4efb-46b1-bcfa-1381ddafce2c,1.00,Banana,2025-11-07 16:30:00.000000+00
f0160000-0000-0000-0000-000000000003,51a2b3c4-d5e6-4f1a-2b3c-4d5e6f7a8b9c,2ab4b3c9-9c27-4146-a72b-f880e5a8599c,1.00,Almond milk unsweetened,2025-11-07 16:30:00.000000+00
f0170000-0000-0000-0000-000000000001,52a3b4c5-d6e7-4f2b-3c4d-5e6f7a8b9c0d,827727e5-4efb-46b1-bcfa-1381ddafce2c,1.00,Banana,2025-11-07 16:30:00.000000+00
f0180000-0000-0000-0000-000000000001,53a4b5c6-d7e8-4f3c-4d5e-6f7a8b9c0d1e,9c1a133b-b8b6-4e66-be2c-57a6bc275c8b,1.00,Greek yogurt,2025-11-07 16:30:00.000000+00
f0180000-0000-0000-0000-000000000002,53a4b5c6-d7e8-4f3c-4d5e-6f7a8b9c0d1e,fee96fa8-8d49-486d-af97-8dc6a1a7df21,0.50,Blueberries,2025-11-07 16:30:00.000000+00
f0200000-0000-0000-0000-000000000001,55a6b7c8-d9e0-4f5e-6f7a-8b9c0d1e2f30,9c1a133b-b8b6-4e66-be2c-57a6bc275c8b,1.00,Greek yogurt,2025-11-07 16:30:00.000000+00
